token,token_id,count,avg_logprob,avg_entropy
 invalid,8318,2320,-0.5166585678170468,0.5284248376714772
 works,4278,2318,-1.0982941183887545,0.8350670722355814
 roots,19703,2312,-0.5656058330952503,0.4745289405302715
 base,2331,2292,-0.6400003215301308,0.5290808767258283
-axis,35321,2285,-0.01162487584078599,0.02110843854244081
 every,1449,2281,-1.6490678561982854,0.963527089176746
 divides,64828,2279,-0.6094214107551926,0.45621429669720615
 unless,7241,2274,-2.359754207685734,1.3798907094601487
 expression,7493,2266,-0.731143851513791,0.7016601258229599
',6,2258,-0.35567767552510104,0.23091955285641447
 subset,25993,2256,-0.5097781713021562,0.4232800364335801
 previous,3681,2254,-1.1738477738007256,0.9460867989590158
 hold,3331,2240,-3.6849964492022993,1.364458262537872
 element,2392,2231,-0.47477204149905367,0.36463407830826533
Total,7595,2221,-0.8115846970659932,0.713731685075498
(y,7021,2214,-0.19094246254380803,0.10981567882025797
 diagonal,37236,2211,-0.5171882331991347,0.443892684329195
 don,1513,2210,-1.0079141118407788,0.8460882002310786
 size,1379,2181,-0.3959037700632962,0.36432377665941185
 add,912,2177,-0.7979923696434711,0.6434837297720815
 rows,6978,2173,-0.5788316744239551,0.4523291960907213
z,89,2169,-0.07009836433669178,0.07269329527534386
 indeed,12824,2166,-2.7293939352695964,0.9992724812261946
 To,2014,2166,-2.2858222465435882,1.4091743559388243
sin,15940,2161,-0.2818291943584091,0.21687724974035452
**,334,2148,-0.20796368636010523,0.34548466281837037
 out,700,2138,-0.44144375966574345,0.38982187885851177
q,80,2131,-0.12891908242410474,0.10875540548883539
 denote,78064,2130,-1.4686365539479145,1.4453071630057035
�,116,2123,-2.4366142948562113e-05,0.00020933265863051716
 except,3650,2107,-3.1953093066394302,0.9315348105460023
This,1986,2107,-1.1138499114657106,1.121507931615597
→,51018,2107,-0.3633188246322798,0.20456733704336266
 ],2279,2094,-0.1535057246741957,0.12597744341907666
>,29,2090,-1.3518201336906288,0.4774478083164498
 etc,4992,2079,-1.1569947830010285,0.6715984083013273
 values,2750,2076,-0.43717411895478164,0.5307889612264185
als,1127,2075,-0.0009853797935577761,0.002445153717520259
 satisfy,26553,2074,-0.7332863516264965,0.6333464008747899
 per,817,2074,-1.3258407801648344,0.743628862589697
